grupo,periodo,hora,n
24h,Antes 24h,0,1727
24h,Antes 24h,1,1010
24h,Antes 24h,2,918
24h,Antes 24h,3,834
24h,Antes 24h,4,687
24h,Antes 24h,5,631
24h,Antes 24h,6,669
24h,Antes 24h,7,850
24h,Antes 24h,8,1121
24h,Antes 24h,9,1342
24h,Antes 24h,10,1795
24h,Antes 24h,11,1222
24h,Antes 24h,12,1433
24h,Antes 24h,13,1261
24h,Antes 24h,14,1642
24h,Antes 24h,15,1810
24h,Antes 24h,16,1953
24h,Antes 24h,17,1741
24h,Antes 24h,18,2093
24h,Antes 24h,19,2166
24h,Antes 24h,20,2568
24h,Antes 24h,21,2099
24h,Antes 24h,22,2293
24h,Antes 24h,23,1850
24h,Depois 24h,0,2832
24h,Depois 24h,1,1506
24h,Depois 24h,2,1383
24h,Depois 24h,3,1227
24h,Depois 24h,4,1031
24h,Depois 24h,5,939
24h,Depois 24h,6,962
24h,Depois 24h,7,1217
24h,Depois 24h,8,1708
24h,Depois 24h,9,2038
24h,Depois 24h,10,2992
24h,Depois 24h,11,1993
24h,Depois 24h,12,2354
24h,Depois 24h,13,2054
24h,Depois 24h,14,2426
24h,Depois 24h,15,2623
24h,Depois 24h,16,2721
24h,Depois 24h,17,2686
24h,Depois 24h,18,2869
24h,Depois 24h,19,3093
24h,Depois 24h,20,3798
24h,Depois 24h,21,3023
24h,Depois 24h,22,3247
24h,Depois 24h,23,2747
comercial,Comercial,0,14660
comercial,Comercial,1,8181
comercial,Comercial,2,7258
comercial,Comercial,3,6038
comercial,Comercial,4,5041
comercial,Comercial,5,4555
comercial,Comercial,6,4981
comercial,Comercial,7,6331
comercial,Comercial,8,8485
comercial,Comercial,9,9359
comercial,Comercial,10,12578
comercial,Comercial,11,10162
comercial,Comercial,12,11867
comercial,Comercial,13,10787
comercial,Comercial,14,12980
comercial,Comercial,15,13276
comercial,Comercial,16,13120
comercial,Comercial,17,13164
comercial,Comercial,18,15208
comercial,Comercial,19,16331
comercial,Comercial,20,20380
comercial,Comercial,21,16030
comercial,Comercial,22,17452
comercial,Comercial,23,14942
