grupo,periodo,mes,n
24h,Antes 24h,1,6068
24h,Antes 24h,2,5576
24h,Antes 24h,3,6689
24h,Antes 24h,4,6450
24h,Antes 24h,5,6204
24h,Antes 24h,6,6105
24h,Antes 24h,7,5883
24h,Antes 24h,8,6763
24h,Antes 24h,9,6717
24h,Antes 24h,10,7270
24h,Antes 24h,11,6784
24h,Antes 24h,12,6400
24h,Depois 24h,1,8984
24h,Depois 24h,2,7835
24h,Depois 24h,3,8873
24h,Depois 24h,4,8801
24h,Depois 24h,5,8873
24h,Depois 24h,6,8800
24h,Depois 24h,7,8511
24h,Depois 24h,8,9927
24h,Depois 24h,9,10472
24h,Depois 24h,10,10590
24h,Depois 24h,11,9698
24h,Depois 24h,12,9250
comercial,Comercial,1,38982
comercial,Comercial,2,37586
comercial,Comercial,3,41099
comercial,Comercial,4,39178
comercial,Comercial,5,39588
comercial,Comercial,6,37669
comercial,Comercial,7,38820
comercial,Comercial,8,43673
comercial,Comercial,9,45131
comercial,Comercial,10,47315
comercial,Comercial,11,43167
comercial,Comercial,12,43121
